collected_at,views,clicks,likes,replies,reposts,quotes,followers_count
2026-03-26T14:39:13.047498,871,0,43,16,1,0,10
2026-03-26T15:03:09.492540,3822,0,16,2,0,1,11
2026-03-27T14:48:17.723502,2262,0,63,6,3,1,16
2026-03-28T14:31:07.914173,6469,0,1366,46,22,1,61
2026-03-29T03:59:13.159755,6469,0,3207,70,52,4,133
2026-03-29T03:59:50.810001,6469,0,3207,70,52,4,133
2026-03-29T04:24:27.783549,6469,0,3302,70,57,4,133
2026-03-29T04:32:32.196169,6469,0,3349,70,57,4,134
2026-03-29T14:32:47.571599,138906,0,416,0,8,1,155
2026-04-13T13:31:47.426929,3398,0,13,2,0,0,223
2026-04-14T15:12:36.392472,445,0,0,1,0,0,223
2026-04-15T15:04:52.436021,435,0,5,0,0,0,222
2026-04-16T15:25:11.027032,396,0,0,0,0,0,222
2026-04-17T14:54:25.293162,61,0,0,0,0,0,222
2026-04-18T14:38:30.014936,481,0,5,0,0,0,223
2026-04-19T14:39:25.885456,1864,0,0,0,0,0,225
2026-04-20T15:15:59.744315,485,0,10,1,0,0,227
2026-04-21T15:12:19.284907,2623,0,16,13,0,0,231
2026-04-22T15:12:41.103734,3087,0,12,0,0,0,230
2026-04-23T15:51:51.888004,2748,0,27,0,0,0,232
2026-04-24T15:07:14.206950,2729,0,4,0,1,0,232
2026-04-25T14:40:46.148892,2467,0,85,6,1,0,239
2026-04-26T14:41:51.598532,10849,0,14,1,0,0,248
2026-04-27T15:47:23.640236,2950,0,10,5,0,0,248
2026-04-28T16:08:01.716648,4618,0,12,0,0,0,253
2026-04-29T15:55:28.181507,6619,0,31,0,0,0,267
